Theater Name,Review date,Review URL,Author name,Local Guide,Star rating,Review content,
Violet Crown,10/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURuaS1ycF93RRAB!2m1!1s0x0 ,Kyle O'Hara,FALSE,4,"Seats are worn but new seats are being installed and we're staged when we went. Food was meh and over priced but that's a movie theater for you.  Overall, I'd go again",
Violet Crown,9/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURIMmFqUk9nEAE!2m1!1s0x0 ,Kenny Roston,TRUE,4,"Went here to check out a movie that wasn't playing anywhere else. It is a positive to have a local theater that shows independent films. The screen, sound, and picture quality is great. One thing that stood out that could need improvement is the theater we were in was the chairs were very worn, but was comfortable.",
Violet Crown,9/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURIcUxEd2R3EAE!2m1!1s0x0 ,Gregg Early,TRUE,4,Four stars for variety of films and food and drinks. Three stars for seating - getting a bit run down.,
Violet Crown,9/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNIX0tIT0F3EAE!2m1!1s0x0 ,Barry C,FALSE,5,Very nice movie theater,
Violet Crown,8/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUM3dDdTU3R3RRAB!2m1!1s0x0 ,Melisa Denham,TRUE,5,,
Violet Crown,8/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURiajV1bXZnRRAB!2m1!1s0x0 ,Nicholas Whitmer,TRUE,5,,
Violet Crown,8/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURidm9qb19nRRAB!2m1!1s0x0 ,Robbie Rice,TRUE,5,"This is a great theater they show first run movies along with independent films my first movie experience I had here I saw Cocaine Bear, great seats, nice staff and good popcorn definitely recommend to anyone visiting Charlottesville it's definitely laid back",
Violet Crown,7/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURydzhYbTBRRRAB!2m1!1s0x0 ,Joe Edwards,FALSE,4,Needs update,
Violet Crown,7/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURyMFp1SGNREAE!2m1!1s0x0 ,Kacy Ray,TRUE,4,Been there twice. Liked it both times.,
Violet Crown,7/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNyN05yTDBRRRAB!2m1!1s0x0 ,Bridgett Cherry,TRUE,5,"A real nice spot, love the refill on the soda's.",
Violet Crown,6/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURMa3Vyd0dnEAE!2m1!1s0x0 ,Robert Starkes,FALSE,5,,
Violet Crown,6/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURMc01TNmFBEAE!2m1!1s0x0 ,Heather Cate Wright,TRUE,5,"Love the film selection at this cinema! Comfy seats, clean theaters and bathrooms, overall great place to catch a movie.",
Violet Crown,4/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNqblk3VzhRRRAB!2m1!1s0x0 ,Elizabeth Chandler,FALSE,5,,
Violet Crown,4/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNnbU9MUVdREAE!2m1!1s0x0 ,Lynn Aprile,TRUE,5,Love my local theater! It’s walkable with a great atmosphere & pretty good food too + you can snag a drink too.,
Violet Crown,3/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUM5di1QTmN3EAE!2m1!1s0x0 ,Karl,FALSE,2,,
Violet Crown,3/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUM5bl9QRGJnEAE!2m1!1s0x0 ,Rick J. McCormack,FALSE,2,"Cleanliness, customer service and food quality has dropped way down. Used to be great.",
Violet Crown,3/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUM5MS1DcDlBRRAB!2m1!1s0x0 ,Jennifer Flood,TRUE,3,Dirty.,
Violet Crown,3/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUM5dzRuel9BRRAB!2m1!1s0x0 ,Thomas Gabel,TRUE,5,,
Violet Crown,3/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUM5NVozSmRBEAE!2m1!1s0x0 ,Gino Cruz,FALSE,5,,
